date,Battery (Charging),Pumps,Coal,Bioenergy,Distillate,Gas,Battery,Hydro,Wind,Solar,Coal Emissions Vol - tCO₂e,Bioenergy Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal Market Value - AUD,Bioenergy Market Value - AUD,Distillate Market Value - AUD,Gas Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar Market Value - AUD
1998-01-01,0.00,-24.36,9750.46,0.00,15.22,476.83,0.00,548.71,0.00,0.00,10126848.55,0.00,15999.76,310504.86,970.88,24.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-01-01,0.00,-362.63,151717.51,0.00,39.00,8286.99,0.00,6432.41,0.00,0.00,159173444.03,0.00,40930.08,5402966.73,990.99,17.16,0.00,592217.85,275905541.78,0.00,36984.11,25104573.24,0.00,10475807.98,0.00,0.00
2000-01-01,0.00,-714.09,155772.81,0.00,82.23,9455.81,0.00,6936.88,0.00,0.00,162646567.32,0.00,86328.35,5933123.20,983.28,47.79,0.00,33777165.00,6586035244.52,0.00,22468663.50,636598301.35,0.00,358385817.68,0.00,0.00
2001-01-01,0.00,-672.89,158695.41,0.00,76.42,9971.17,0.00,5937.81,0.00,0.00,165806119.97,0.00,80736.92,5482046.97,984.83,39.90,0.00,14487659.59,5667993246.13,0.00,6255269.39,502004005.38,0.00,307201589.14,0.00,0.00
2002-01-01,0.00,-429.83,163340.23,0.00,78.28,9824.94,0.00,5189.80,0.00,0.00,169936827.77,0.00,82186.90,5232709.75,984.54,40.77,0.00,7769645.92,6724771086.46,0.00,5865865.03,454244946.76,0.00,358624616.67,0.00,0.00
2003-01-01,0.00,-579.59,166879.01,0.00,20.44,7984.82,0.00,7069.47,0.00,0.00,172516383.62,0.00,21091.74,4150852.81,974.16,29.38,0.00,9172596.68,4187621030.85,0.00,750155.30,277321591.92,0.00,278257094.45,0.00,0.00
2004-01-01,0.00,-1479.40,173408.48,0.00,44.13,9673.38,0.00,4787.43,0.00,0.00,179333695.01,0.00,46326.70,5346768.67,990.84,45.50,0.00,30273990.24,6670227055.61,0.00,6521878.46,505672115.18,0.00,370863877.28,0.00,0.00
2005-01-01,0.00,-758.32,172540.14,0.00,28.45,10971.18,0.00,12346.51,0.00,0.00,178124947.88,0.00,30609.23,5888014.72,943.19,30.76,0.00,16890426.42,5306713873.84,0.00,1904269.02,436645941.49,0.00,796069479.60,0.00,0.00
2006-01-01,0.00,-596.19,177858.24,0.00,17.41,12721.24,0.00,14424.57,0.00,0.00,183481488.44,0.00,18557.67,6767800.30,930.75,27.14,0.00,12256364.85,5633713954.60,0.00,6555695.14,556913538.03,0.00,670688708.01,0.00,0.00
2007-01-01,0.00,-1979.68,175697.49,0.00,80.29,19381.42,0.00,12697.21,74.05,0.00,181640456.82,0.00,84320.89,10824439.94,934.93,50.73,0.00,67206392.67,11850868841.02,0.00,29424381.52,1511554081.81,0.00,1141540231.21,3686897.51,0.00
2008-01-01,0.00,-1379.62,179135.39,0.00,60.35,17914.87,0.00,11269.74,775.89,0.00,184896926.18,0.00,63749.39,9623602.51,936.51,40.48,0.00,31736184.41,7571367298.40,0.00,35975188.15,1230841614.17,0.00,671428167.70,45247282.53,0.00
2009-01-01,0.00,-309.01,173757.02,222.03,61.12,19816.33,0.00,12094.06,2979.66,0.00,180045664.99,18756.31,63190.86,10360913.99,913.08,48.66,0.00,6176918.83,7044299090.04,6722770.72,43581393.78,1494712701.93,0.00,949982485.58,123165023.35,0.00
2010-01-01,0.00,-117.99,164594.98,208.66,19.85,23627.88,0.00,15755.29,4469.02,0.00,170573994.38,16125.07,21277.60,12004413.02,875.61,35.82,0.00,2280436.51,5187341291.80,5436218.88,21207880.56,1062447432.30,0.00,704339747.74,144067125.27,0.00
2011-01-01,0.00,-301.33,163015.20,389.60,34.90,23021.20,0.00,13390.36,5666.00,0.00,169055410.98,31410.48,37044.05,11693149.21,881.11,29.22,0.00,7495837.68,5886356193.21,12335759.76,22618407.59,1153402223.41,0.00,672772763.66,169993196.65,0.00
2012-01-01,0.00,-165.19,153502.03,334.28,27.21,24473.36,0.00,15970.23,6352.48,0.00,158260316.24,25060.96,28732.18,12261996.65,850.78,41.06,0.00,5896644.10,6642276039.57,17132840.22,2453885.97,1153656462.78,0.00,776813498.80,262774816.68,0.00
2013-01-01,0.00,-87.88,146220.71,309.91,90.27,22909.60,0.00,18571.45,8060.18,1.18,150142807.30,17013.37,79767.02,11408733.56,824.42,57.81,0.00,5068663.85,8520881435.35,19951999.93,15168991.53,1634453741.24,0.00,978039283.60,435203994.94,56587.55
2014-01-01,0.00,-118.64,153777.33,500.22,30.09,32107.85,0.00,13896.49,10069.84,22.15,156509557.31,36461.11,30371.33,16576774.11,823.42,43.44,0.00,4118245.35,6985553515.44,20702199.70,17692790.59,1737448113.73,0.00,613150575.17,405358188.32,1163225.86
2015-01-01,0.00,-173.73,160094.18,466.96,35.36,27393.12,0.00,13377.28,11599.81,3950.68,162084425.58,35498.91,35687.48,14683401.99,815.89,46.76,0.00,5259863.37,6703045280.61,21586370.78,29751941.07,1543276169.61,0.00,648973801.23,427202553.92,192082998.44
2016-01-01,0.00,-391.92,160197.29,462.11,138.88,24239.63,0.00,17070.64,12708.17,9637.39,161276120.99,36815.27,140032.93,13463610.36,780.66,63.59,0.00,15897468.04,9444185097.68,28727355.51,41069287.43,2175533771.80,0.00,1345661374.08,693890300.82,620813422.34
2017-01-01,-3.30,-389.32,157129.72,478.18,97.53,29609.22,2.64,12924.27,12867.48,8407.82,153370337.79,35753.48,100588.67,15956347.59,766.37,98.90,262709.59,26841451.46,15120279132.76,40081829.35,67655420.09,3324940706.44,264458.43,1497266535.68,1063882716.56,846958664.67
2018-01-01,-50.75,-483.80,154636.61,365.48,26.05,23728.73,41.51,16706.44,15906.22,11356.07,149265974.69,16568.97,27196.39,12884206.03,729.84,89.99,3573619.13,30064408.02,12472093053.43,24997297.33,16585064.40,2195824646.95,6444703.22,1462808569.70,1183850449.50,896999452.87
2019-01-01,-83.28,-722.04,147998.08,349.19,29.94,25976.00,67.33,13729.98,19066.85,17736.83,142659083.25,14758.16,29424.33,13886894.26,698.60,90.25,5364816.47,41983088.28,12666921708.24,22406644.80,37805598.12,2859636541.24,12088057.14,1658166546.91,1458850832.26,1293352212.43
2020-01-01,-104.77,-546.98,141091.65,284.37,19.87,22480.52,85.42,14314.99,22192.44,22198.40,136201199.28,12090.80,17963.86,11858362.39,667.02,63.25,2269989.20,14082355.17,7672624976.64,12641506.18,8466467.64,1553308656.87,6231813.72,997142919.40,892154121.29,912579129.70
2021-01-01,-162.16,-731.50,135674.39,276.47,103.87,17714.04,128.76,15805.62,26354.44,28171.47,131044994.43,11659.42,107761.48,9456941.97,629.64,63.42,3020699.07,20946949.79,10000150164.07,21455860.81,62068679.23,1972127269.54,12917415.73,1166237731.94,1123269791.90,914290739.33
2022-01-01,-380.50,-1457.09,127816.74,241.37,86.80,20822.02,276.39,16641.20,29457.71,33837.49,123788030.40,10151.12,88829.31,11297588.90,594.63,171.63,35289451.29,164643791.06,23385604943.68,29281150.58,74788336.12,4693547480.13,84366023.31,3681916294.75,3723903024.91,2930582823.48
2023-01-01,-449.63,-1318.83,124720.02,332.23,41.88,17449.74,359.28,15289.56,31061.03,41889.90,120655179.91,13817.93,42943.05,9351146.91,567.03,97.33,8679238.82,19865882.30,11730360819.66,26430484.34,24561287.33,2563410572.17,57019100.54,1543058934.49,1797080372.02,1399590776.03
2024-01-01,-1016.98,-1914.12,126475.43,460.23,91.30,18354.36,808.39,13542.68,31909.20,46747.91,121829283.57,17235.84,88574.19,10368451.36,561.90,168.62,36002144.21,41209851.95,15656830369.50,57069867.85,75026285.91,3704527066.21,208077039.49,2532507686.81,2457605256.66,2356586302.66
2025-01-01,-1705.27,-1465.63,94770.52,308.02,25.48,13378.82,1385.22,9763.78,28352.45,35567.30,91276019.03,12050.62,24456.42,7389239.39,547.19,168.83,81560618.76,18681470.25,10845187599.14,39265107.05,16668654.04,2661282505.82,309666249.28,1752279963.75,2067617931.13,1285485814.91
