Quarter,Seasonally adjusted and weather normalised,Trend
September 2004,152.3,150.9
December 2004,152.7,152.7
March 2005,154.2,154.5
June 2005,152.7,156.9
September 2005,162.1,159.8
December 2005,162.3,162.0
March 2006,162.4,162.3
June 2006,161.5,161.0
September 2006,158.0,159.3
December 2006,157.9,158.0
March 2007,157.7,157.4
June 2007,156.9,156.9
September 2007,156.1,156.1
December 2007,155.2,155.2
March 2008,154.7,154.8
June 2008,154.3,154.9
September 2008,156.3,154.9
December 2008,154.7,154.3
March 2009,152.2,153.6
June 2009,151.6,153.4
September 2009,154.9,153.9
December 2009,154.1,154.5
March 2010,154.0,154.2
June 2010,153.4,152.2
September 2010,148.7,149.2
December 2010,146.1,146.6
March 2011,145.6,145.3
June 2011,145.0,144.5
September 2011,143.1,143.1
December 2011,140.8,141.3
March 2012,140.0,139.7
June 2012,136.6,139.4
September 2012,141.8,139.9
December 2012,141.6,140.4
March 2013,139.6,140.2
June 2013,140.1,139.1
September 2013,136.7,138.2
December 2013,137.0,137.2
March 2014,137.3,136.3
June 2014,133.8,135.9
September 2014,136.9,135.7
December 2014,134.6,135.6
March 2015,134.2,134.4
June 2015,134.4,131.5
September 2015,125.8,128.0
December 2015,124.9,125.0
March 2016,124.2,124.4
June 2016,121.9,126.8
September 2016,134.8,130.6
December 2016,133.3,134.1
March 2017,134.8,134.8
June 2017,134.1,132.6
September 2017,128.9,129.4
December 2017,127.0,127.0
March 2018,126.3,126.3
June 2018,126.2,126.2
September 2018,126.5,125.7
December 2018,124.2,124.6
March 2019,123.4,123.3
June 2019,122.3,122.4
September 2019,121.8,122.1
December 2019,121.8,121.3
March 2020,121.5,118.8
June 2020,112.8,115.0
September 2020,109.3,111.5
December 2020,109.8,109.7
March 2021,109.4,109.9
June 2021,111.5,110.9
September 2021,110.0,111.3
December 2021,110.9,110.8
March 2022,109.8,110.4
June 2022,109.7,111.0
September 2022,115.0,112.2
December 2022,112.6,113.1
March 2023,112.8,112.7
June 2023,112.4,111.6
September 2023,109.9,111.0
December 2023,110.9,111.2
March 2024,113.7,111.9
June 2024,111.9,112.0
September 2024,110.9,111.0
December 2024,109.7,109.5
March 2025,107.8,108.3
June 2025,107.6,107.6
