Quarter,Electricity,Stationary Energy excluding electricity,Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Land Use Land Use Change and Forestry (LULUCF),NationalInventoryTotal
September 2004,51.2,22.2,20.3,10.9,7.5,21.9,4.0,19.4,157.3
December 2004,46.3,19.3,21.2,10.5,7.5,21.9,4.0,19.4,150.0
March 2005,49.4,18.1,19.8,10.5,7.5,21.4,3.9,19.0,149.4
June 2005,49.8,21.7,20.5,10.8,7.6,21.6,3.9,19.2,155.2
September 2005,52.4,22.2,20.6,11.3,7.8,21.6,3.9,27.3,167.1
December 2005,47.5,19.1,21.5,10.8,7.6,21.6,3.9,27.3,159.4
March 2006,50.3,17.8,20.1,10.5,7.5,21.1,3.8,26.7,157.9
June 2006,51.0,21.4,20.8,11.1,7.7,21.3,3.9,27.0,164.1
September 2006,53.5,22.5,21.1,11.9,8.2,20.7,4.0,20.9,162.8
December 2006,48.0,19.5,22.0,11.6,8.2,20.7,4.0,20.9,154.9
March 2007,50.9,17.8,20.5,11.3,8.1,20.2,3.9,20.5,153.2
June 2007,51.6,21.7,21.3,12.0,8.1,20.5,4.0,20.7,159.8
September 2007,53.7,23.3,21.5,12.2,8.2,20.0,4.1,17.5,160.6
December 2007,48.3,20.1,22.4,11.4,8.2,20.0,4.1,17.5,152.0
March 2008,51.7,18.1,21.0,10.6,8.1,19.7,4.1,17.4,150.5
June 2008,52.1,22.4,21.8,11.9,8.2,19.7,4.1,17.4,157.6
September 2008,55.1,23.8,21.5,11.8,8.4,20.0,4.1,15.7,160.4
December 2008,49.3,20.3,22.4,11.6,8.1,20.0,4.1,15.7,151.5
March 2009,53.6,17.3,21.0,10.8,7.0,19.6,4.0,15.3,148.5
June 2009,53.7,21.5,21.9,11.7,7.0,19.8,4.0,15.5,155.0
September 2009,53.3,22.8,21.9,11.5,8.1,19.3,4.0,17.2,158.2
December 2009,47.9,19.9,22.8,11.4,8.4,19.3,4.0,17.2,151.1
March 2010,51.9,18.2,21.4,10.7,8.5,18.9,4.0,16.9,150.4
June 2010,51.9,22.3,22.3,11.7,8.5,19.1,4.0,17.0,156.9
September 2010,51.4,23.6,22.5,11.8,8.7,20.5,3.9,9.0,151.4
December 2010,46.7,20.5,23.5,10.8,8.7,20.5,3.9,9.0,143.6
March 2011,50.2,18.7,22.0,10.1,8.6,20.0,3.8,8.8,142.3
June 2011,50.0,22.7,23.0,11.2,8.4,20.2,3.9,8.9,148.3
September 2011,51.1,24.7,23.0,11.6,8.6,20.8,3.6,2.1,145.5
December 2011,48.6,20.8,23.3,11.4,7.9,20.8,3.6,2.1,138.5
March 2012,50.6,19.4,22.5,10.6,7.8,20.5,3.5,2.1,137.0
June 2012,48.7,22.9,22.7,11.3,7.7,20.5,3.5,2.1,139.6
September 2012,47.1,25.3,23.1,11.7,7.5,20.9,3.3,4.8,143.7
December 2012,45.6,22.3,23.8,11.5,7.5,20.9,3.3,4.8,139.8
March 2013,47.2,20.3,22.7,10.9,7.3,20.5,3.3,4.7,136.8
June 2013,47.1,24.5,23.2,11.9,7.4,20.7,3.3,4.7,142.7
September 2013,44.5,25.4,23.5,11.2,7.5,21.0,3.3,2.1,138.4
December 2013,44.0,23.1,23.8,10.8,7.5,21.0,3.3,2.1,135.5
March 2014,46.8,21.4,22.5,10.8,7.3,20.5,3.3,2.0,134.6
June 2014,45.5,23.4,23.0,10.9,7.4,20.8,3.3,2.0,136.2
September 2014,47.4,24.6,23.8,12.6,7.7,20.2,3.2,-1.3,138.3
December 2014,46.6,20.5,24.3,12.1,7.7,20.2,3.2,-1.3,133.4
March 2015,47.7,20.0,23.3,11.6,7.5,19.7,3.1,-1.2,131.9
June 2015,47.2,23.8,23.4,12.7,7.6,20.0,3.2,-1.2,136.6
September 2015,49.3,24.1,24.1,12.9,7.7,19.8,3.3,-14.2,127.0
December 2015,47.8,21.8,24.6,13.0,7.7,19.8,3.3,-14.2,123.8
March 2016,49.5,20.5,23.7,12.0,7.6,19.6,3.2,-14.0,122.0
June 2016,48.2,23.4,23.5,12.7,7.6,19.6,3.2,-14.0,124.1
September 2016,48.0,24.2,23.7,14.2,7.9,21.0,3.4,-6.5,135.9
December 2016,44.2,23.5,24.8,14.0,7.9,21.0,3.4,-6.5,132.1
March 2017,48.7,21.9,24.3,12.7,7.6,20.5,3.3,-6.4,132.6
June 2017,48.8,24.2,24.7,13.0,7.7,20.7,3.3,-6.5,136.1
September 2017,46.3,26.0,24.9,15.2,7.9,20.7,3.2,-14.0,130.2
December 2017,44.8,23.9,25.3,14.0,7.9,20.7,3.2,-14.0,125.8
March 2018,46.5,22.0,24.5,13.5,7.9,20.3,3.2,-13.7,124.0
June 2018,45.7,25.2,25.1,14.3,8.1,20.5,3.2,-13.8,128.2
September 2018,45.4,27.1,25.2,15.0,8.3,19.1,3.3,-15.4,128.1
December 2018,43.7,23.6,25.7,14.8,8.1,19.1,3.3,-15.4,123.0
March 2019,46.3,22.0,24.2,13.8,7.9,18.7,3.3,-15.0,121.1
June 2019,43.7,25.7,24.8,14.6,8.2,18.9,3.3,-15.2,124.1
September 2019,43.6,26.8,24.5,14.2,8.0,18.5,3.4,-15.2,123.8
December 2019,42.2,24.4,25.2,13.7,8.0,18.5,3.4,-15.2,120.3
March 2020,44.3,23.0,23.7,13.4,7.9,18.3,3.3,-15.1,118.9
June 2020,41.8,25.1,19.4,13.9,7.9,18.3,3.3,-15.1,114.7
September 2020,42.2,26.9,20.9,12.8,8.2,19.9,3.4,-22.6,111.6
December 2020,39.1,24.8,22.9,12.2,8.3,19.9,3.4,-22.6,108.0
March 2021,40.6,23.2,22.1,12.1,8.1,19.4,3.4,-22.1,106.7
June 2021,41.3,27.1,23.7,12.5,8.2,19.6,3.4,-22.3,113.6
September 2021,40.6,27.8,20.6,12.8,8.3,20.1,3.5,-20.9,112.7
December 2021,36.9,25.3,23.2,12.3,8.4,20.1,3.5,-20.9,108.8
March 2022,39.6,22.6,22.3,11.9,8.0,19.6,3.5,-20.5,107.0
June 2022,39.4,26.3,23.4,12.1,8.2,19.9,3.5,-20.7,112.1
September 2022,40.6,26.3,23.9,12.9,8.3,20.8,3.5,-18.6,117.6
December 2022,34.9,24.6,24.4,12.3,8.4,20.8,3.5,-18.6,110.3
March 2023,38.3,22.4,23.9,11.7,8.0,20.3,3.4,-18.2,109.9
June 2023,38.8,26.0,24.4,12.0,8.3,20.5,3.4,-18.4,115.1
September 2023,37.8,25.8,24.3,11.8,7.9,20.1,3.5,-18.6,112.6
December 2023,34.8,23.8,25.1,11.8,7.7,20.1,3.5,-18.6,108.2
March 2024,39.2,22.7,24.4,11.7,7.6,19.9,3.4,-18.2,110.8
June 2024,40.8,25.0,24.6,12.0,7.5,19.9,3.4,-18.4,114.9
September 2024,38.2,25.5,24.9,12.3,7.7,20.1,3.5,-18.6,113.5
December 2024,33.7,23.6,25.5,11.5,7.5,20.1,3.5,-18.6,106.9
March 2025,37.1,21.5,23.6,10.5,7.3,19.6,3.4,-18.2,104.9
June 2025,38.6,24.3,24.4,11.0,7.5,19.9,3.4,-18.4,110.7
