Year,Average Mean Surface Air Temperature (°C)
1901,21.51
1902,21.47
1903,21.18
1904,21.17
1905,21.16
1906,21.71
1907,21.19
1908,20.89
1909,20.95
1910,21.36
1911,21.15
1912,21.66
1913,21.11
1914,21.94
1915,21.87
1916,21.29
1917,20.67
1918,21.13
1919,21.62
1920,21.2
1921,21.53
1922,21.26
1923,21.4
1924,20.95
1925,20.94
1926,21.6
1927,21.25
1928,21.65
1929,20.93
1930,21.5
1931,21.17
1932,21.4
1933,21.25
1934,21.37
1935,21.27
1936,21.5
1937,21.41
1938,21.86
1939,21.27
1940,21.54
1941,21.14
1942,21.72
1943,21.07
1944,21.34
1945,21.38
1946,21.05
1947,21.3
1948,21.21
1949,20.83
1950,21.04
1951,21.17
1952,21.19
1953,21.18
1954,21.25
1955,21.21
1956,20.71
1957,21.62
1958,21.73
1959,21.86
1960,21
1961,21.7
1962,21.57
1963,21.47
1964,21.4
1965,21.83
1966,21.08
1967,21.45
1968,21.23
1969,21.62
1970,21.47
1971,21.34
1972,21.79
1973,22.08
1974,20.94
1975,21.39
1976,20.98
1977,21.59
1978,21.33
1979,21.94
1980,22.31
1981,21.84
1982,21.69
1983,21.96
1984,21.22
1985,21.76
1986,21.77
1987,21.74
1988,22.35
1989,21.53
1990,22.02
1991,22.18
1992,21.65
1993,21.9
1994,21.84
1995,21.7
1996,22.01
1997,21.73
1998,22.31
1999,21.82
2000,21.46
2001,21.48
2002,22.17
2003,22.13
2004,21.99
2005,22.46
2006,21.85
2007,22
2008,21.71
2009,22.14
2010,21.48
2011,21.47
2012,21.76
2013,22.73
2014,22.55
2015,22.34
2016,22.37
2017,22.48
2018,22.52
2019,22.8
2020,22.53
2021,22.04
2022,21.93
2023,22.31
2024,22.77
